Hersteller;Name;Lochzahl;D1
ALEXRIMS;DM18, 20". 18-406;36;396
ALTEN;820 inox 18/20  559 x 20;36;551
ALTENBURGER;alu, uralt;36;621
AMBROSIO;D.H.-28,  559-22;36;548
AMBROSIO;EVOLUTION  622-13;36;605
AMBROSIO;PRESTIGE, 622x17;36;605
AMBROSIO;TEXAS,  622x18;36;608
AMBROSIO;The Frog, 622-17;36;606
AMBROSIO;V-Profil ohne Ösen 622-13,5;32;601
Araya;RM 20 26 Zoll;36;549
ARAYA;700C PX-45;36;615
ARAYA;DH, Spercial Edition, 559x 25;36;549
ARAYA;TM -810 F, 559x18;36;546
ARAYA;VX-400 ,  622x13;32;613
CAMPAGNOLO;DELTA  6021 alloy,  622x13;36;594
CAMPAGNOLO;EVEREST,  559-17;36;545
CAMPAGNOLO;Omega, V-Profil, 622x13;36;602
CAMPAGNOLO;STH EV 10 ,  6082 alloy T6;36;538
CAMPAGNOLO;TOKYO  64, 622x13;36;610
CAMPAGNOLO;ZARK 6061 alloy T6, 559x16;36;545
DMR;DV 24;36;483
DT SWISS;XM 490, 622x19;32;603
DT SWISS;XR 4.1. - 559x17;28;537
DT SWISS;XR 400 - 559x17;36;543
EXAL;LX 17 - 622x17;36;604
EXAL;sp 19;36;602
EXAL;sp19 40 loch;40;604
GRAND BOIS;Papillon 650B, 584x17;32;570
GRUNERT;alloy 590 x 17;36;581
GRUNERT;ALLOY,  630 x 20;36;620
GRUNERT;Alloy, schwarz, einfach, 622-20;36;609
GRUNERT;ALU einfach,  622 x 17 C;36;609
GRUNERT;HK 622x17C;36;606
GRUNERT;KONKAV,  622x19;36;618
GRUNERT;MTB konkav,  559x22;36;554
H PLUS SON;Archetype, 17x622;36;593
H PLUS SON;SL42 , 13x622;36;556
H PLUS SON;TB14, 17x622;36;612
H+SON;EERO 559;32;492
H+SON;Hochflansch Felge 20 zoll;32;340
Halo;White Line 28'';36;609
J. BAYER;HURICCANE  AL 114,  622x13;36;605
MACH 1;210 B.O.S;36;603
MAD MAX;DH, 559 x 29 mm,  850 g;36;537
mavic;26"  317;36;544
mavic;SPUTNIK,  622-19;36;604
Mavic;A 719;36;602
Mavic;ENDEAVOUR,  622x17;36;603
Mavic;KONKAV,   622x19;36;616
Mavic;Strong, 559x19 mm;36;548
Mavic;TN 719 disc;36;604
Mavic;TN 719 disc 29";36;604
MAVIC;217 CERAMIC SUP,  559x 17;32;544
MAVIC;217 SUP,  559x17;32;540
MAVIC;238,  559x17;36;548
MAVIC;A 319,  28 zoll;36;607
MAVIC;A 319,  28 zoll, 2014er modell;36;603
MAVIC;A 719, 622x19 mm;36;602
MAVIC;CPX 12, 622x14, V- Profil;32;600
MAVIC;CPX 14, 622x14, V-Profil;36;590
MAVIC;CXP 21, 622x15-6106;32;602
MAVIC;CXP 33, 622;32;596
MAVIC;CXP 33, 650 i, Triathlon;36;549
MAVIC;D 521, 559x21mm;36;537
MAVIC;F 219 Disc 559;36;541
MAVIC;M 21,  622x21;36;617
MAVIC;M 234,  622x 19;36;612
MAVIC;M 261 CD, 559x 19;36;547
MAVIC;M 261,  622x 19;36;610
MAVIC;MA 2 ,  622x13;36;611
MAVIC;MA 3,  silber o. hardelox.,  622x13;36;609
MAVIC;MA 40,  622x13;36;611
MAVIC;Module 3 CD,  622x 15;36;611
MAVIC;Module 3 SBP, schawrz + silber,  622-15;36;611
MAVIC;Module 4, 622x15;36;611
MAVIC;MTB 521 CD, 559x21;36;535
MAVIC;Open 4 CD, 571x13mm;36;555
MAVIC;Open 4 CD, 622x 13;36;608
MAVIC;Open Pro, SUP, UB, 622x13;36;604
MAVIC;Open Sport;36;610
MAVIC;Reflex-Schlauchreifenfelge, 622x13;36;612
MAVIC;T 217  SUP,  622x17;36;602
MAVIC;T 261, 622x20;36;611
MAVIC;T 519 CD, 622x19;36;602
MAVIC;T 520, 622x20 mm;36;603
MAVIC;T-224, 622-19;32;608
MAVIC;X (BMX) SUP;36;394
MAVIC;X 138, 26'';36;546
MAVIC;X 221/ X 317, 559-17;32;545
MAVIC;X 517 SUP CERAMIC ,  559x17;32;540
MAVIC;X 519, 559x19 mm;36;539
MAVIC;X 618, 559x18;36;540
MAVIC;X 717 Disc, 559;36;543
MAVIC;XC 717;32;541
MAVIC;XM 317, 559 mm;36;545
MAVIC;XM 719 - 559 mm;32;538.5
MAVIC;Xy BMX 24",  507x 25;36;490
RIGIDA; 27*1,25 (630*16), Hohlkammer;36;618
RIGIDA;27x1 1/4, Kasten einfach;36;620
RIGIDA;Alesis 584mm / 650 B;36;574
RIGIDA;Alu Westwood 26";36;551
RIGIDA;Andra 10 - 559 x 19 mm;36;534
RIGIDA;Andra 30 - 26" - 559 x 19 mm;32;541
RIGIDA;Andra 30 - 28" - 622 x 19 mm;32;606
RIGIDA;Andra 40 - 20" - 406 x 25 mm;36;388
RIGIDA;Andra 40 - 24" - 507 x 25 mm;36;488
RIGIDA;Andra 40 - 26" - 559 x 25;36;541
RIGIDA;AS-25 - 20" - Alu Kasten;36;393
RIGIDA;Big Bull - 26" -  559 x 25 mm -  einfach geöst;36;540
RIGIDA;Big Bull - 28" - 622 x 25 mm - doppelt geöst;36;602
RIGIDA;CHRINA - 28" - 622 x 13 mm - doppelt geöst;36;608
RIGIDA;Chrina - 28" - 622 x 13 mm - einfach geöst;36;608
RIGIDA;CTX 50, 559x20;36;539
RIGIDA;Disc Bull 559, einfach geöst;36;538
RIGIDA;DP 18 - 700 C;36;583
RIGIDA;DP 2000, 559x18;36;522
RIGIDA;DP 2000, 622x19mm;36;583
RIGIDA;DP 22  559x16;36;520
RIGIDA;DP 25  19*622;36;597
RIGIDA;DPX und DPX CSS;36;593
RIGIDA;Grizzly 559x17mm;36;540
RIGIDA;Laser 622 x 18;36;609
RIGIDA;Nova 2005;36;600
RIGIDA;Nova Ultimate Power double wall;36;603
RIGIDA;Rival 19x622;36;606
RIGIDA;RM-19, 451x19 mm;36;442
RIGIDA;Snyper - 559;36;539
RIGIDA;Snyper - 622;36;602
RIGIDA;Sphinx - 622 doppelt geöst;36;607
RIGIDA;Sputnik - 559;32;542
RIGIDA;Sputnik - 622;36;605
RIGIDA;Stahl  26x1,9;36;546
RIGIDA;Stahlfelge 622-18;36;614
RIGIDA;SUPERCHROMIX 559x22;36;550
RIGIDA;SUPERCHROMIX,  26*1 3/8, 590x 18;36;583
RIGIDA;Taurus 2000 - 622;36;605
RIGIDA;TURBO 90 (Aero), 559x 19;36;534
RIGIDA;Westwood 20", Alu;36;397
RIGIDA;XC 420, 559x17;36;545
RIGIDA;ZAC 19 , 622x19,  einfach geöst;36;609
RIGIDA;ZAC 19 - 559x19;36;545
RIGIDA;ZAC 19 - 622x19 doppelt geöst;36;609
RIGIDA;ZAC 2000 - 559x18;36;538
RIGIDA;ZAC 2000 - 622x18;36;602
RIGIDA;ZAC 21 (622);36;610
RIGIDA;ZAC 21, 559x21 mm;36;546
RIGIDA;"ZAC 21;622x21 mm";36;610
RIGIDA;ZAC-2000 disc 622;36;601
